Track Name @0 0ms C0 T0 [ control track ]
Text @0 0ms C0 T0 [ creator:  ]
Text @0 0ms C0 T0 [ GNU LilyPond 2.14.2            ]
Time Signature @0 0ms C0 T0 [ 4/4  metro: 18  32nds: 8 ]
Set Tempo @0 0ms C0 T0 [ mpqn: 750000 tempo: 80 ]
Program Change @0 0ms C0 T1 [ 0x28 ]
Instrument Name @0 0ms C0 T1 [ violin ]
Note On @7296 14250ms C2 T3 [ D-6(74) 0 ]
Note On @7296 14250ms C2 T3 [ C-6(72) 90 ]
Note On @7680 15000ms C0 T1 [ C-6(72) 0 ]
Note On @7680 15000ms C0 T1 [ G-5(67) 90 ]
Note On @7680 15000ms C1 T2 [ A-5(69) 0 ]
Note On @7680 15000ms C1 T2 [ C-6(72) 0 ]
Note On @7680 15000ms C1 T2 [ G-6(79) 0 ]
Note On @7680 15000ms C1 T2 [ E-6(76) 0 ]
Note On @7680 15000ms C1 T2 [ C-5(60) 90 ]
Note On @7680 15000ms C1 T2 [ E-5(64) 90 ]
Note On @7680 15000ms C1 T2 [ G-5(67) 90 ]
Note On @7680 15000ms C2 T3 [ C-6(72) 0 ]
Note On @7680 15000ms C2 T3 [ G-5(67) 90 ]
Note On @7872 15375ms C0 T1 [ G-5(67) 0 ]
Note On @7872 15375ms C0 T1 [ A-5(69) 90 ]
Note On @7872 15375ms C2 T3 [ G-5(67) 0 ]
Note On @7872 15375ms C2 T3 [ A-5(69) 90 ]
Note On @8064 15750ms C0 T1 [ A-5(69) 0 ]
Note On @8064 15750ms C0 T1 [ B-5(71) 90 ]
Note On @8064 15750ms C2 T3 [ A-5(69) 0 ]
Note On @8064 15750ms C2 T3 [ B-5(71) 90 ]
Note On @8256 16125ms C0 T1 [ B-5(71) 0 ]
Note On @8256 16125ms C0 T1 [ C-6(72) 90 ]
Note On @8352 16312ms C2 T3 [ B-5(71) 0 ]
Note On @8352 16312ms C2 T3 [ C-6(72) 90 ]
Note On @8448 16500ms C0 T1 [ C-6(72) 0 ]
Note On @8448 16500ms C0 T1 [ B-5(71) 90 ]
Note On @8448 16500ms C2 T3 [ C-6(72) 0 ]
Note On @8448 16500ms C2 T3 [ B-5(71) 90 ]
Note On @8640 16875ms C0 T1 [ B-5(71) 0 ]
Note On @8640 16875ms C0 T1 [ A-5(69) 90 ]
Note On @8832 17250ms C0 T1 [ A-5(69) 0 ]
Note On @8832 17250ms C0 T1 [ D-6(74) 90 ]
Note On @8832 17250ms C2 T3 [ B-5(71) 0 ]
Note On @8832 17250ms C2 T3 [ A-5(69) 90 ]
Note On @9216 18000ms C0 T1 [ D-6(74) 0 ]
Note On @9216 18000ms C0 T1 [ F-6(77) 90 ]
Note On @9216 18000ms C1 T2 [ C-5(60) 0 ]
Note On @9216 18000ms C1 T2 [ E-5(64) 0 ]
Note On @9216 18000ms C1 T2 [ G-5(67) 0 ]
Note On @9216 18000ms C1 T2 [ D-6(74) 90 ]
Note On @9216 18000ms C1 T2 [ B-5(71) 90 ]
Note On @9216 18000ms C1 T2 [ G-5(67) 90 ]
Note On @9216 18000ms C2 T3 [ A-5(69) 0 ]
Note On @9216 18000ms C2 T3 [ F-5(65) 90 ]
Note On @9408 18375ms C0 T1 [ F-6(77) 0 ]
Note On @9408 18375ms C0 T1 [ G-6(79) 90 ]
Note On @9408 18375ms C2 T3 [ F-5(65) 0 ]
Note On @9408 18375ms C2 T3 [ G-5(67) 90 ]
Note On @9600 18750ms C0 T1 [ G-6(79) 0 ]
Note On @9600 18750ms C0 T1 [ A-6(81) 90 ]
Note On @9600 18750ms C2 T3 [ G-5(67) 0 ]
Note On @9600 18750ms C2 T3 [ A-5(69) 90 ]
Note On @9792 19125ms C0 T1 [ A-6(81) 0 ]
Note On @9792 19125ms C0 T1 [ G-6(79) 90 ]
Note On @9792 19125ms C2 T3 [ A-5(69) 0 ]
Note On @9792 19125ms C2 T3 [ F-5(65) 90 ]
Note On @9984 19500ms C0 T1 [ G-6(79) 0 ]
Note On @9984 19500ms C0 T1 [ F-6(77) 90 ]
Note On @9984 19500ms C2 T3 [ F-5(65) 0 ]
Note On @9984 19500ms C2 T3 [ E-5(64) 90 ]
Note On @10176 19875ms C0 T1 [ F-6(77) 0 ]
Note On @10176 19875ms C0 T1 [ E-6(76) 90 ]
Note On @10368 20250ms C0 T1 [ E-6(76) 0 ]
Note On @10368 20250ms C0 T1 [ C-6(72) 90 ]
Note On @10368 20250ms C2 T3 [ E-5(64) 0 ]
Note On @10368 20250ms C2 T3 [ F-5(65) 90 ]
Note On @10752 21000ms C0 T1 [ C-6(72) 0 ]
Note On @10752 21000ms C0 T1 [ G-6(79) 90 ]
Note On @10752 21000ms C1 T2 [ D-6(74) 0 ]
Note On @10752 21000ms C1 T2 [ B-5(71) 0 ]
Note On @10752 21000ms C1 T2 [ G-5(67) 0 ]
Note On @10752 21000ms C1 T2 [ G-5(67) 90 ]
Note On @10752 21000ms C1 T2 [ B-5(71) 90 ]
Note On @10752 21000ms C1 T2 [ E-5(64) 90 ]
Note On @10752 21000ms C2 T3 [ F-5(65) 0 ]
Note On @10752 21000ms C2 T3 [ C-5(60) 90 ]
Note On @10944 21375ms C2 T3 [ C-5(60) 0 ]
Note On @10944 21375ms C2 T3 [ D-5(62) 90 ]
Note On @11136 21750ms C0 T1 [ G-6(79) 0 ]
Note On @11136 21750ms C0 T1 [ F-6(77) 90 ]
Note On @11136 21750ms C2 T3 [ D-5(62) 0 ]
Note On @11136 21750ms C2 T3 [ E-5(64) 90 ]
Note On @11328 22125ms C2 T3 [ E-5(64) 0 ]
Note On @11328 22125ms C2 T3 [ F-5(65) 90 ]
Note On @11520 22500ms C0 T1 [ F-6(77) 0 ]
Note On @11520 22500ms C0 T1 [ E-6(76) 90 ]
Note On @11520 22500ms C2 T3 [ F-5(65) 0 ]
Note On @11520 22500ms C2 T3 [ E-5(64) 90 ]
Note On @11712 22875ms C2 T3 [ E-5(64) 0 ]
Note On @11712 22875ms C2 T3 [ D-5(62) 90 ]
Note On @11904 23250ms C0 T1 [ E-6(76) 0 ]
Note On @11904 23250ms C0 T1 [ D-6(74) 90 ]
Note On @11904 23250ms C2 T3 [ D-5(62) 0 ]
Note On @11904 23250ms C2 T3 [ G-5(67) 90 ]
Note On @12288 24000ms C0 T1 [ D-6(74) 0 ]
Note On @12288 24000ms C0 T1 [ A-5(69) 90 ]
